MSOA21CD/E02003876	Barnton
MSOA21CD/E02003929	Porthleven, Breage & Praa Sands
MSOA21CD/E02003931	Bude & Stratton
MSOA21CD/E02003941	Bodmin East
MSOA21CD/E02003942	Bodmin West
MSOA21CD/E02003966	Boltons, Warnell & Solway Coast
MSOA21CD/E02003969	Flimby, Ellenborough & Broughton Moor
MSOA21CD/E02003971	East Cockermouth & Buttermere
MSOA21CD/E02003984	Barrow Central
MSOA21CD/E02003986	Walney Island South & Barrow Island
MSOA21CD/E02003987	Longtown & Border
MSOA21CD/E02003988	Brampton & Irthing
MSOA21CD/E02003991	Belle Vue & Burgh
MSOA21CD/E02003997	Botcherby & Harraby
MSOA21CD/E02004014	Kirkby Stephen, Tebay & Brough
MSOA21CD/E02004017	Kendal North & Burneside
MSOA21CD/E02004022	Coniston, Broughton & Kirkby
MSOA21CD/E02004024	Burton-in-Kendal, Levens & Natland
MSOA21CD/E02004037	Belper Far Laund
MSOA21CD/E02004038	Belper Town
MSOA21CD/E02004045	Clowne & Barlborough
MSOA21CD/E02004048	Bolsover North & Shuttlewood
MSOA21CD/E02004049	Bolsover South & Glapwell
MSOA21CD/E02004057	New Whittington, Hollingwood & Barrow Hill
MSOA21CD/E02004059	Brimington South & Tapton
MSOA21CD/E02004063	Ashgate & Brockwell
MSOA21CD/E02004065	Brookside & Walton
MSOA21CD/E02004067	Boythorpe & Birdholme
MSOA21CD/E02004068	Hathersage, Bradwell & Tideswell
MSOA21CD/E02004069	Bakewell North, Baslow & Calver
MSOA21CD/E02004077	Doveridge, Brailsford & Bradley
MSOA21CD/E02004081	Breadsall, Little Eaton & Stanley Common
MSOA21CD/E02004086	Borrowash & Ockbrook
